word,count
fun,9540
museum,8775
tour,8739
day,7326
area,7097
park,7096
history,6493
experience,6322
old,5840
beautiful,5608
lot,5450
kids,5254
walk,5134
people,5131
way,5100
worth,4997
did,4978
parking,4884
recommend,4851
went,4604
amazing,4568
family,4529
staff,4469
lots,4320
machines,4270
enjoyed,4257
hours,4209
food,4150
friendly,4053
free,3846
pinball,3842
don,3660
interesting,3660
trip,3587
zoo,3545
definitely,3505
small,3491
trail,3457
best,3425
got,3387
games,3383
love,3304
going,3227
loved,3183
didn,3174
town,3126
took,3086
enjoy,3042
make,2957
play,2929
water,2917
highly,2865
ship,2852
walking,2835
city,2833
sure,2823
wonderful,2794
stop,2780
new,2737
year,2672
easy,2642
room,2641
views,2639
exhibits,2605
things,2586
years,2571
hour,2535
different,2463
guide,2427
spend,2421
cool,2414
animals,2410
view,2399
ride,2355
shop,2348
want,2331
right,2328
art,2305
spent,2268
clean,2252
bit,2250
children,2237
building,2228
visiting,2194
long,2191
come,2187
saw,2150
pretty,2149
san,2126
better,2113
open,2082
excellent,2061
house,2061
times,2045
plenty,2043
river,2016
look,2014
able,1999
know,1978
local,1938
looking,1937
inside,1934
big,1896
service,1893
helpful,1887
beach,1866
awesome,1859
center,1855
money,1837
large,1836
spot,1831
especially,1805
knowledgeable,1799
minutes,1794
information,1761
need,1760
couple,1739
quite,1730
places,1709
think,1707
home,1701
work,1690
diego,1680
came,1674
outside,1660
areas,1657
check,1645
feel,1630
close,1629
life,1613
game,1609
street,1608
early,1600
exhibit,1589
shops,1584
fantastic,1553
tickets,1545
hike,1542
midway,1536
bring,1524
gift,1522
short,1507
away,1504
price,1498
super,1491
downtown,1473
absolutely,1470
end,1462
lovely,1462
drive,1446
said,1437
night,1435
seen,1421
informative,1412
deck,1400
seeing,1398
group,1384
available,1382
say,1381
thing,1380
days,1371
closed,1363
trails,1357
left,1356
restaurants,1342
favorite,1338
huge,1336
felt,1329
husband,1320
perfect,1315
used,1303
rides,1294
use,1282
wasn,1281
walked,1279
thought,1275
afternoon,1260
overall,1259
admission,1259
variety,1258
state,1250
line,1246
actually,1233
told,1231
playing,1223
learn,1215
historic,1208
cruise,1207
kind,1200
entertaining,1200
watch,1198
high,1194
hard,1193
entire,1191
wanted,1188
bridge,1184
near,1182
vegas,1178
special,1174
including,1173
