word,score
great,69.25456854721725
good,64.15217244590741
service,56.55490808922919
delicious,26.05565147470665
excellent,24.82775030260725
best,23.948725818125244
staff,22.594509756506195
friendly,20.90223288844017
experience,20.832915874755145
nice,19.187788655945592
dinner,18.927346334046355
amazing,17.02624626464878
atmosphere,14.824081452316495
recommend,13.939930733753643
lunch,13.79460588465424
chicken,13.589584541250671
server,13.263273396078525
table,13.059421908971345
bar,12.361538258255385
pizza,12.076199002751014
salad,11.399504213875034
definitely,11.212218314224376
breakfast,11.139350867533883
did,11.080718936444493
wonderful,10.922380944240132
eat,10.780390228936042
visit,10.656130379260526
night,9.884735809590444
wait,9.625056854544564
fresh,9.600663156780685
try,9.591323581098944
enjoyed,9.567421856090254
drinks,9.546734906863584
little,9.174185372361778
don,8.956181779996736
highly,8.7135890068252
dining,8.369540806604293
didn,8.253646674189648
family,8.233293781306164
tasty,8.196075442236271
steak,8.069454023378876
special,8.021060170339622
attentive,7.992455936582329
fantastic,7.9594488799138885
day,7.957950538433276
sauce,7.932340070515141
love,7.857301955090482
better,7.857198678231634
come,7.820834014723457
worth,7.6781829087517925
wife,7.676838744948072
perfect,7.63907014342236
people,7.3700405384727565
small,7.337897073262164
quality,7.328659840185448
area,7.316945361474556
make,7.248952816441872
cheese,7.233665208098191
wine,7.214856193179857
said,7.0706812416612435
way,7.045918342463053
husband,6.973484610517294
waitress,6.912773921767601
spot,6.888457765295347
lovely,6.821076269326837
served,6.808503689938188
fish,6.695747381456008
prices,6.66243931168308
cooked,6.5774216728216315
asked,6.36847761769104
right,6.349133721095241
years,6.283872870887579
took,6.269011588936053
hot,6.204767714394655
busy,6.188086814216562
dishes,6.184253300444769
loved,6.159546345362936
large,6.025701738432287
shrimp,5.945588401926988
bread,5.931521488507437
town,5.927793825569217
disappointed,5.902877775354808
coffee,5.901590043658378
price,5.81350488212956
absolutely,5.721564132926657
sure,5.691404088399818
long,5.668965410343701
evening,5.641401668476828
minutes,5.630512097033805
favorite,5.588170170861451
fried,5.568425203801625
beer,5.548251232287762
return,5.530782448960801
going,5.497796945936117
times,5.497626598114705
waiter,5.496111308724318
bad,5.477423457122386
home,5.476410619683134
bit,5.414738700454492
new,5.394597402928007
outstanding,5.332008204521752
portions,5.324512492350445
location,5.292531245357832
fries,5.18664268880818
old,5.1211375035040705
fun,5.083586814034802
drink,5.077705765678701
sandwich,5.030406071782207
italian,5.021425195722643
friends,4.998369319987678
local,4.986406837236459
seated,4.980510539030512
flavor,4.888470423339395
outside,4.846761364680766
restaurants,4.837726796844882
happy,4.809563479540432
dessert,4.807564347521094
super,4.796113025914805
awesome,4.761587517734434
told,4.7502295662662615
burger,4.7467822091219185
arrived,4.718284491725984
want,4.6994111345231575
taste,4.640036626546549
beautiful,4.630186918600291
tried,4.616739456128067
say,4.559413982020545
looking,4.545024274819145
left,4.5313053265606085
stop,4.520936443520598
different,4.50108095322252
options,4.413172020580472
tables,4.4075427377934275
soup,4.398453117952611
selection,4.3946783463280195
know,4.374582495459651
wanted,4.315391812779465
cold,4.309748361849959
beef,4.300409920815165
wasn,4.235939524634582
room,4.234510997927617
birthday,4.222461384166644
meat,4.2099594048531195
quite,4.200281334966275
high,4.173912824666686
lot,4.1720143740206375
hotel,4.166720099428787
recommended,4.1564982583517365
pasta,4.139315642971254
warm,4.099854984386776
big,4.094531185164617
enjoy,4.081846582347808
seafood,4.069607338479048
chips,4.061853479905413
stopped,4.060162093620181
helpful,4.057558668908497
trip,4.054191076060871
meals,4.021781780722002
overall,4.011824940473943
house,3.985647082948832
feel,3.972032540568765
away,3.9536918625775956
reservation,3.8345098293829523
ate,3.8238077454919566
mexican,3.818152294323138
quick,3.804486574687758
manager,3.791652494175469
pork,3.7598398086337457
inside,3.748019321815197
thank,3.7193320900423474
rice,3.6726974007135276
average,3.6705519319498863
sat,3.6638268308229702
cream,3.6563911667903564
pretty,3.637114180092315
fast,3.626791821508947
think,3.6206779930976567
crab,3.581910497813861
clean,3.571693450390298
view,3.569560860622128
parking,3.567382268435827
looked,3.563793670962344
huge,3.5559640523061606
tasted,3.5223770860302657
perfectly,3.4968995822152387
hour,3.4853891543933604
kind,3.4396283186930865
half,3.4325307669338962
disappointing,3.4247475733650554
eating,3.420297575881351
lots,3.3945205911544165
sweet,3.3872942664094245
reasonable,3.3828070775937826
choice,3.3767689220219474
plate,3.353744467418977
prepared,3.3416914213800797
appetizer,3.337696973460261
decided,3.3366074151273906
seating,3.30912202136422
pleasant,3.2900164961665905
